league_id,match_id,battle_id,date,game_no,team1,team2,winner,duration_min,snapshot_count,has_timeline,gold_diff,kill_diff,tower_diff,objective_diff,total_kills,total_towers
20260003,2026061901,1222656528_7_1781848850,2026-06-19,1,北京WB,上海EDG.M,北京WB,14.866666666666667,1,False,5648,1,4,2,13,10
20260003,2026061901,1222656528_8_1781850843,2026-06-19,2,北京WB,上海EDG.M,北京WB,13.483333333333333,21,True,11080,11,3,2,19,9
20260003,2026061901,1222656528_9_1781852728,2026-06-19,3,上海EDG.M,北京WB,北京WB,17.666666666666668,30,True,-4734,-6,-4,-2,24,10
20260003,2026061903,501236240_6_1781872932,2026-06-19,2,成都AG超玩会,KSG,成都AG超玩会,12.1,2,False,8993,4,9,2,6,9
20260003,2026061903,501236240_7_1781874729,2026-06-19,3,KSG,成都AG超玩会,成都AG超玩会,17.3,25,True,-3757,-2,-3,2,16,9
20260003,2026061903,501236240_8_1781877183,2026-06-19,4,成都AG超玩会,KSG,成都AG超玩会,22.166666666666668,26,True,5982,5,2,-4,19,12
20260003,2026062001,836780560_11_1781935241,2026-06-20,1,杭州LGD.NBW,南通Hero久竞,南通Hero久竞,19.25,30,True,-8396,-11,-4,-1,19,10
20260003,2026062001,836780560_12_1781937458,2026-06-20,2,杭州LGD.NBW,南通Hero久竞,杭州LGD.NBW,14.733333333333333,29,True,8881,5,6,1,21,10
20260003,2026062001,836780560_13_1781939308,2026-06-20,3,杭州LGD.NBW,南通Hero久竞,,15.883333333333333,28,True,-7378,-9,-8,-3,15,8
20260003,2026062001,836780560_14_1781941238,2026-06-20,4,南通Hero久竞,杭州LGD.NBW,杭州LGD.NBW,12.5,3,False,-9078,-8,-5,-2,18,5
20260003,2026062001,836780560_15_1781942669,2026-06-20,5,南通Hero久竞,杭州LGD.NBW,,11.95,24,True,-7154,-7,-5,-4,11,7
20260003,2026062002,48251408_25_1781945997,2026-06-20,1,广州TTG,西安WE,广州TTG,13.916666666666666,29,True,3151,4,2,2,10,8
20260003,2026062002,48251408_26_1781947892,2026-06-20,2,西安WE,广州TTG,广州TTG,14.7,32,True,-12185,-4,-9,-3,16,9
20260003,2026062002,48251408_27_1781949664,2026-06-20,3,广州TTG,西安WE,广州TTG,14.116666666666667,31,True,10760,11,8,0,13,8
20260003,2026062003,970998288_9_1781956832,2026-06-20,1,深圳DYG,重庆狼队,重庆狼队,17.516666666666666,38,True,-13866,-9,-8,-3,17,8
20260003,2026062003,970998288_10_1781958896,2026-06-20,2,重庆狼队,深圳DYG,重庆狼队,13.4,31,True,12556,13,7,4,15,7
20260003,2026062003,970998288_11_1781960709,2026-06-20,3,重庆狼队,深圳DYG,深圳DYG,15.816666666666666,30,True,-5602,-3,-4,-1,7,4
20260003,2026062003,970998288_12_1781962742,2026-06-20,4,重庆狼队,深圳DYG,重庆狼队,15.033333333333333,35,True,4317,4,1,1,14,9
20260003,2026062101,48251408_29_1782021630,2026-06-21,1,武汉eStarPro,上海RNG.M,武汉eStarPro,16.166666666666668,34,True,6176,14,3,1,22,9
20260003,2026062101,48251408_30_1782023748,2026-06-21,2,武汉eStarPro,上海RNG.M,,13.783333333333333,29,True,2157,-2,2,4,6,6
20260003,2026062401,48251408_35_1782280868,2026-06-24,1,SYG,长沙TES.A,SYG,18.466666666666665,13,True,10523,11,4,4,21,6
20260003,2026062401,48251408_36_1782283022,2026-06-24,2,SYG,长沙TES.A,长沙TES.A,13.166666666666666,17,True,-8755,-10,-6,-2,16,8
20260003,2026062401,48251408_37_1782284739,2026-06-24,3,长沙TES.A,SYG,SYG,20.166666666666668,21,True,-2059,-10,-1,-3,32,9
20260003,2026062401,48251408_38_1782287006,2026-06-24,4,SYG,长沙TES.A,长沙TES.A,15.683333333333334,22,True,-6647,-6,-4,-3,12,8
20260003,2026062401,48251408_39_1782288689,2026-06-24,5,长沙TES.A,SYG,,17.8,18,True,484,-3,-2,0,9,14
20260003,2026062402,48251408_40_1782294016,2026-06-24,1,佛山DRG,西安WE,西安WE,16.75,33,True,-7686,-4,-1,-4,10,7
20260003,2026062402,48251408_41_1782295966,2026-06-24,2,西安WE,佛山DRG,西安WE,16.083333333333332,31,True,11555,7,5,4,21,9
20260003,2026062402,48251408_42_1782297803,2026-06-24,3,西安WE,佛山DRG,佛山DRG,14.15,21,True,-7935,-9,0,0,9,4
20260003,2026062402,48251408_43_1782299605,2026-06-24,4,佛山DRG,西安WE,西安WE,12.0,24,True,-8113,-8,-5,-3,14,7
20260003,2026062403,48251408_44_1782304526,2026-06-24,1,KSG,济南RW侠,KSG,12.116666666666667,10,True,9717,10,7,4,12,7
20260003,2026062403,48251408_45_1782306090,2026-06-24,2,KSG,济南RW侠,KSG,16.683333333333334,26,True,8541,12,5,1,20,9
20260003,2026062403,48251408_46_1782308064,2026-06-24,3,KSG,济南RW侠,KSG,15.366666666666667,18,True,7629,5,7,2,5,7
20260003,2026062501,1222656528_11_1782367274,2026-06-25,1,北京WB,上海RNG.M,北京WB,17.35,48,True,4304,3,-2,-2,23,12
20260003,2026062501,1222656528_12_1782369551,2026-06-25,2,北京WB,上海RNG.M,北京WB,17.883333333333333,52,True,3938,6,2,2,20,12
20260003,2026062501,1222656528_13_1782371597,2026-06-25,3,北京WB,上海RNG.M,北京WB,20.15,59,True,10931,6,4,4,12,10
20260003,2026062502,48251408_49_1782378201,2026-06-25,1,深圳DYG,WST,深圳DYG,17.633333333333333,53,True,3567,8,5,4,14,11
20260003,2026062502,48251408_50_1782380248,2026-06-25,2,深圳DYG,WST,深圳DYG,11.1,33,True,7565,10,5,3,12,7
20260003,2026062502,48251408_51_1782381988,2026-06-25,3,深圳DYG,WST,,12.616666666666667,25,True,949,-1,-1,1,23,7
20260003,2026062503,836780560_19_1782390661,2026-06-25,2,杭州LGD.NBW,武汉eStarPro,杭州LGD.NBW,14.2,2,False,8670,8,6,3,12,6
20260003,2026062503,836780560_20_1782392433,2026-06-25,3,武汉eStarPro,杭州LGD.NBW,,14.616666666666667,7,True,-8480,-3,-7,-4,5,7
