league_id,match_id,battle_id,date,game_no,team,opponent,win,duration_min,gold,gold_diff,kills,kill_diff,towers,tower_diff,objectives
20260003,2026061901,1222656528_7_1781848850,2026-06-19,1,北京WB,上海EDG.M,1,14.866666666666667,49516,5648,7,1,7,4,3
20260003,2026061901,1222656528_7_1781848850,2026-06-19,1,上海EDG.M,北京WB,0,14.866666666666667,43868,-5648,6,-1,3,-4,1
20260003,2026061901,1222656528_8_1781850843,2026-06-19,2,北京WB,上海EDG.M,1,13.483333333333333,47511,11080,15,11,6,3,3
20260003,2026061901,1222656528_8_1781850843,2026-06-19,2,上海EDG.M,北京WB,0,13.483333333333333,36431,-11080,4,-11,3,-3,1
20260003,2026061901,1222656528_9_1781852728,2026-06-19,3,上海EDG.M,北京WB,0,17.666666666666668,52570,-4734,9,-6,3,-4,2
20260003,2026061901,1222656528_9_1781852728,2026-06-19,3,北京WB,上海EDG.M,1,17.666666666666668,57304,4734,15,6,7,4,4
20260003,2026061903,501236240_6_1781872932,2026-06-19,2,成都AG超玩会,KSG,1,12.1,42795,8993,5,4,9,9,2
20260003,2026061903,501236240_6_1781872932,2026-06-19,2,KSG,成都AG超玩会,0,12.1,33802,-8993,1,-4,0,-9,0
20260003,2026061903,501236240_7_1781874729,2026-06-19,3,KSG,成都AG超玩会,0,17.3,54580,-3757,7,-2,3,-3,4
20260003,2026061903,501236240_7_1781874729,2026-06-19,3,成都AG超玩会,KSG,1,17.3,58337,3757,9,2,6,3,2
20260003,2026061903,501236240_8_1781877183,2026-06-19,4,成都AG超玩会,KSG,1,22.166666666666668,74532,5982,12,5,7,2,2
20260003,2026061903,501236240_8_1781877183,2026-06-19,4,KSG,成都AG超玩会,0,22.166666666666668,68550,-5982,7,-5,5,-2,6
20260003,2026062001,836780560_11_1781935241,2026-06-20,1,杭州LGD.NBW,南通Hero久竞,0,19.25,55533,-8396,4,-11,3,-4,3
20260003,2026062001,836780560_11_1781935241,2026-06-20,1,南通Hero久竞,杭州LGD.NBW,1,19.25,63929,8396,15,11,7,4,4
20260003,2026062001,836780560_12_1781937458,2026-06-20,2,杭州LGD.NBW,南通Hero久竞,1,14.733333333333333,51729,8881,13,5,8,6,2
20260003,2026062001,836780560_12_1781937458,2026-06-20,2,南通Hero久竞,杭州LGD.NBW,0,14.733333333333333,42848,-8881,8,-5,2,-6,1
20260003,2026062001,836780560_13_1781939308,2026-06-20,3,杭州LGD.NBW,南通Hero久竞,0,15.883333333333333,44510,-7378,3,-9,0,-8,1
20260003,2026062001,836780560_13_1781939308,2026-06-20,3,南通Hero久竞,杭州LGD.NBW,0,15.883333333333333,51888,7378,12,9,8,8,4
20260003,2026062001,836780560_14_1781941238,2026-06-20,4,南通Hero久竞,杭州LGD.NBW,0,12.5,37091,-9078,5,-8,0,-5,1
20260003,2026062001,836780560_14_1781941238,2026-06-20,4,杭州LGD.NBW,南通Hero久竞,1,12.5,46169,9078,13,8,5,5,3
20260003,2026062001,836780560_15_1781942669,2026-06-20,5,南通Hero久竞,杭州LGD.NBW,0,11.95,33186,-7154,2,-7,1,-5,0
20260003,2026062001,836780560_15_1781942669,2026-06-20,5,杭州LGD.NBW,南通Hero久竞,0,11.95,40340,7154,9,7,6,5,4
20260003,2026062002,48251408_25_1781945997,2026-06-20,1,广州TTG,西安WE,1,13.916666666666666,43500,3151,7,4,5,2,4
20260003,2026062002,48251408_25_1781945997,2026-06-20,1,西安WE,广州TTG,0,13.916666666666666,40349,-3151,3,-4,3,-2,2
20260003,2026062002,48251408_26_1781947892,2026-06-20,2,西安WE,广州TTG,0,14.7,40986,-12185,6,-4,0,-9,1
20260003,2026062002,48251408_26_1781947892,2026-06-20,2,广州TTG,西安WE,1,14.7,53171,12185,10,4,9,9,4
20260003,2026062002,48251408_27_1781949664,2026-06-20,3,广州TTG,西安WE,1,14.116666666666667,49595,10760,12,11,8,8,2
20260003,2026062002,48251408_27_1781949664,2026-06-20,3,西安WE,广州TTG,0,14.116666666666667,38835,-10760,1,-11,0,-8,2
20260003,2026062003,970998288_9_1781956832,2026-06-20,1,深圳DYG,重庆狼队,0,17.516666666666666,46582,-13866,4,-9,0,-8,1
20260003,2026062003,970998288_9_1781956832,2026-06-20,1,重庆狼队,深圳DYG,1,17.516666666666666,60448,13866,13,9,8,8,4
20260003,2026062003,970998288_10_1781958896,2026-06-20,2,重庆狼队,深圳DYG,1,13.4,49014,12556,14,13,7,7,4
20260003,2026062003,970998288_10_1781958896,2026-06-20,2,深圳DYG,重庆狼队,0,13.4,36458,-12556,1,-13,0,-7,0
20260003,2026062003,970998288_11_1781960709,2026-06-20,3,重庆狼队,深圳DYG,0,15.816666666666666,46738,-5602,2,-3,0,-4,2
20260003,2026062003,970998288_11_1781960709,2026-06-20,3,深圳DYG,重庆狼队,1,15.816666666666666,52340,5602,5,3,4,4,3
20260003,2026062003,970998288_12_1781962742,2026-06-20,4,重庆狼队,深圳DYG,1,15.033333333333333,45197,4317,9,4,5,1,3
20260003,2026062003,970998288_12_1781962742,2026-06-20,4,深圳DYG,重庆狼队,0,15.033333333333333,40880,-4317,5,-4,4,-1,2
20260003,2026062101,48251408_29_1782021630,2026-06-21,1,武汉eStarPro,上海RNG.M,1,16.166666666666668,54908,6176,18,14,6,3,3
20260003,2026062101,48251408_29_1782021630,2026-06-21,1,上海RNG.M,武汉eStarPro,0,16.166666666666668,48732,-6176,4,-14,3,-3,2
20260003,2026062101,48251408_30_1782023748,2026-06-21,2,武汉eStarPro,上海RNG.M,0,13.783333333333333,42857,2157,2,-2,4,2,4
20260003,2026062101,48251408_30_1782023748,2026-06-21,2,上海RNG.M,武汉eStarPro,0,13.783333333333333,40700,-2157,4,2,2,-2,0
20260003,2026062401,48251408_35_1782280868,2026-06-24,1,SYG,长沙TES.A,1,18.466666666666665,63244,10523,16,11,5,4,5
20260003,2026062401,48251408_35_1782280868,2026-06-24,1,长沙TES.A,SYG,0,18.466666666666665,52721,-10523,5,-11,1,-4,1
20260003,2026062401,48251408_36_1782283022,2026-06-24,2,SYG,长沙TES.A,0,13.166666666666666,38243,-8755,3,-10,1,-6,1
20260003,2026062401,48251408_36_1782283022,2026-06-24,2,长沙TES.A,SYG,1,13.166666666666666,46998,8755,13,10,7,6,3
20260003,2026062401,48251408_37_1782284739,2026-06-24,3,长沙TES.A,SYG,0,20.166666666666668,60798,-2059,11,-10,4,-1,1
20260003,2026062401,48251408_37_1782284739,2026-06-24,3,SYG,长沙TES.A,1,20.166666666666668,62857,2059,21,10,5,1,4
20260003,2026062401,48251408_38_1782287006,2026-06-24,4,SYG,长沙TES.A,0,15.683333333333334,44062,-6647,3,-6,2,-4,1
