battle_id,bucket,reasons_str,n_snaps,n_minutes,win_camp,has_finished_status,n_json_total,n_json_live,n_json_backfill,n_json_bad,max_backward_jump_sec,minute_min,minute_max
1222656528_11_1782367274,clean,,48,17,1,True,152,152,0,0,0.0,1,17
1222656528_12_1782369551,clean,,52,17,1,True,152,152,0,0,0.0,1,17
1222656528_13_1782371597,clean,,59,20,1,True,208,208,0,0,0.0,1,20
1222656528_3_1782907580,clean,,23,10,1,True,45,45,0,0,0.0,1,13
1222656528_4_1782909470,clean,,32,15,2,True,51,51,0,0,0.0,1,16
1222656528_5_1782911562,clean,,25,13,2,True,46,46,0,0,0.0,1,14
1222656528_8_1781850843,clean,,21,11,1,True,64,64,0,0,0.0,1,13
1222656528_9_1781852728,clean,,30,16,2,True,6012,6012,0,0,0.0,1,17
1272988176_10_1783166431,clean,,58,18,1,True,147,147,0,0,0.0,1,18
1272988176_11_1783168590,clean,,48,14,1,True,116,116,0,0,0.0,1,14
1272988176_12_1783170451,clean,,34,12,2,True,98,98,0,0,0.0,1,12
1272988176_16_1782475230,clean,,20,11,2,True,32,32,0,0,0.0,1,12
1272988176_18_1782478925,clean,,41,21,2,True,55,55,0,0,0.0,1,23
1272988176_19_1782481245,clean,,26,13,2,True,34,34,0,0,0.0,1,15
1272988176_20_1782483021,clean,,21,10,2,True,25,25,0,0,0.0,1,13
1272988176_5_1782995910,clean,,31,16,2,True,58,58,0,0,0.0,1,16
1272988176_6_1782997932,clean,,29,14,1,True,47,47,0,0,0.0,1,14
1373651472_21_1779526666,clean,,61,20,2,True,217,217,0,0,0.0,1,20
1373651472_22_1779529174,clean,,44,14,2,True,183,183,0,0,0.0,1,14
1373651472_23_1779531345,clean,,41,15,2,True,233,233,0,0,0.0,1,15
1373651472_24_1779534420,clean,,54,18,2,True,275,275,0,0,0.0,1,18
1373651472_25_1779536753,clean,,36,10,1,True,145,145,0,0,0.0,1,10
1373651472_26_1779538707,clean,,49,17,1,True,235,235,0,0,0.0,1,17
1373651472_27_1779541129,clean,,54,18,2,True,312,312,0,0,0.0,1,18
434127376_3_1782464559,clean,,14,9,2,True,15,15,0,0,0.0,1,12
434127376_4_1783058521,clean,,45,15,1,True,116,116,0,0,0.0,1,15
434127376_5_1782468188,clean,,16,11,2,True,21,21,0,0,0.0,1,12
434127376_5_1783060386,clean,,43,15,2,True,111,111,0,0,0.0,1,15
434127376_6_1782469833,clean,,19,15,2,True,24,24,0,0,0.0,1,15
48251408_12_1782900383,clean,,52,21,2,True,85,85,0,0,0.0,1,22
48251408_13_1782902726,clean,,29,13,2,True,51,51,0,0,0.0,1,14
48251408_14_1782904610,clean,,33,15,1,True,49,49,0,0,0.0,1,15
48251408_18_1782972301,clean,,24,14,2,True,47,47,0,0,0.0,1,15
48251408_19_1782974266,clean,,27,14,2,True,50,50,0,0,0.0,1,14
48251408_20_1782976074,clean,,24,11,1,True,40,40,0,0,0.0,1,11
48251408_21_1782977684,clean,,32,16,2,True,59,59,0,0,0.0,1,16
48251408_22_1782979372,clean,,32,15,2,True,57,57,0,0,0.0,1,16
48251408_25_1781945997,clean,,29,12,1,True,65,65,0,0,0.0,1,13
48251408_26_1781947892,clean,,32,14,2,True,70,70,0,0,0.0,1,14
48251408_27_1781949664,clean,,31,14,1,True,76,76,0,0,0.0,1,14
48251408_28_1783069245,clean,,40,14,2,True,101,101,0,0,0.0,1,14
48251408_29_1782021630,clean,,34,16,1,True,78,78,0,0,0.0,1,16
48251408_29_1783071189,clean,,43,13,2,True,115,115,0,0,0.0,1,13
48251408_30_1783073077,clean,,50,18,1,True,132,132,0,0,0.0,1,18
48251408_33_1783144897,clean,,28,11,2,True,93,93,0,0,0.0,1,11
48251408_34_1783146545,clean,,37,12,1,True,83,83,0,0,0.0,1,12
48251408_35_1782280868,clean,,13,11,1,True,24,24,0,0,0.0,5,18
48251408_36_1782283022,clean,,17,13,2,True,29,29,0,0,0.0,1,13
48251408_36_1783155753,clean,,34,13,2,True,100,100,0,0,0.0,1,13
48251408_37_1782284739,clean,,21,17,2,True,34,34,0,0,0.0,1,20
48251408_37_1783157545,clean,,61,21,1,True,181,181,0,0,0.0,1,21
48251408_38_1782287006,clean,,22,13,2,True,55,55,0,0,0.0,1,15
48251408_40_1782294016,clean,,33,15,2,True,50,50,0,0,0.0,1,16
48251408_40_1783231250,clean,,45,14,2,True,118,118,0,0,0.0,1,14
48251408_41_1782295966,clean,,31,16,1,True,60,60,0,0,0.0,1,16
48251408_41_1783233087,clean,,43,16,2,True,128,128,0,0,0.0,1,16
48251408_42_1782297803,clean,,21,13,2,True,38,38,0,0,0.0,1,14
48251408_42_1783235107,clean,,41,14,2,True,117,117,0,0,0.0,1,14
48251408_43_1782299605,clean,,24,12,2,True,38,38,0,0,0.0,1,12
48251408_43_1783237005,clean,,41,16,1,True,145,145,0,0,0.0,1,16
48251408_44_1783238715,clean,,52,18,1,True,140,140,0,0,0.0,1,18
48251408_45_1782306090,clean,,26,15,1,True,45,45,0,0,0.0,1,16
48251408_46_1782308064,clean,,18,13,1,True,22,22,0,0,0.0,1,15
48251408_49_1782378201,clean,,53,17,1,True,210,210,0,0,0.0,1,17
48251408_50_1782380248,clean,,33,11,1,True,398,398,0,0,0.0,1,11
48251408_53_1782453683,clean,,18,14,1,True,24,24,0,0,0.0,1,22
48251408_54_1782456087,clean,,15,13,1,True,18,18,0,0,0.0,1,21
48251408_58_1782541737,clean,,17,11,2,True,19,19,0,0,0.0,1,11
48251408_59_1782543350,clean,,26,14,1,True,32,32,0,0,0.0,1,14
48251408_61_1782547369,clean,,18,12,1,True,18,18,0,0,0.0,1,15
48251408_6_1782885655,clean,,40,20,2,True,76,76,0,0,0.0,1,22
48251408_7_1782887995,clean,,31,13,2,True,50,50,0,0,0.0,1,14
48251408_8_1782889937,clean,,26,13,1,True,44,44,0,0,0.0,1,13
48251408_9_1782891662,clean,,37,17,2,True,65,65,0,0,0.0,1,17
501236240_10_1783254441,clean,,29,11,2,True,99,99,0,0,0.0,1,11
501236240_11_1783256096,clean,,39,15,1,True,127,127,0,0,0.0,1,15
501236240_12_1784462563,clean,,32,16,1,True,44,44,0,0,0.0,1,19
501236240_18_1782563944,clean,,25,15,1,True,34,34,0,0,0.0,1,15
501236240_3_1783080303,clean,,56,21,2,True,166,166,0,0,0.0,1,21
501236240_4_1783082769,clean,,38,13,2,True,91,91,0,0,0.0,1,13
501236240_5_1783084613,clean,,48,17,2,True,123,123,0,0,0.0,1,17
501236240_6_1783086603,clean,,38,13,1,True,104,104,0,0,0.0,1,13
501236240_7_1781874729,clean,,25,17,2,True,31,31,0,0,0.0,1,17
501236240_8_1781877183,clean,,26,19,1,True,35,35,0,0,0.0,1,22
501236240_8_1784297598,clean,,15,8,1,True,18,18,0,0,0.0,11,20
836780560_11_1781935241,clean,,30,17,2,True,47,47,0,0,0.0,1,19
836780560_12_1781937458,clean,,29,14,1,True,52,52,0,0,0.0,1,14
836780560_23_1782628431,clean,,19,11,2,True,30,30,0,0,0.0,1,12
970998288_10_1781958896,clean,,31,13,1,True,56,56,0,0,0.0,1,13
970998288_11_1781960709,clean,,30,15,2,True,77,77,0,0,0.0,1,15
970998288_12_1781962742,clean,,35,15,1,True,65,65,0,0,0.0,1,15
970998288_15_1782647996,clean,,22,11,1,True,34,34,0,0,0.0,1,12
970998288_16_1782649772,clean,,19,10,1,True,23,23,0,0,0.0,1,14
970998288_3_1783242248,clean,,56,24,1,True,174,174,0,0,0.0,1,24
970998288_4_1783244960,clean,,42,16,1,True,116,116,0,0,0.0,1,16
970998288_5_1783247198,clean,,40,15,1,True,114,114,0,0,0.0,1,15
970998288_6_1783249163,clean,,37,15,2,True,100,100,0,0,0.0,1,15
970998288_7_1783250863,clean,,60,22,1,True,181,181,0,0,0.0,1,22
970998288_9_1781956832,clean,,38,17,2,True,73,73,0,0,0.0,1,17
